feature,point_biserial_r,p_value
Tech_Usage_Hours,0.5942987705496969,0.0
Social_Interaction,0.5775844151974552,0.0
Heart_Rate,0.5574490585496581,0.0
Sensory_Sensitivity,0.5534608585021151,0.0
Screen_Time,0.5526376190920118,0.0
Stress_Level,0.5384498225797001,0.0
Work_Hours,0.5174304022745339,1.7021714618986614e-300
Anxiety_Score,0.5167629707743431,1.3583036439568634e-299
Noise_Exposure,0.5145982062831209,1.1085142701734694e-296
Caffeine_Intake,0.017923554727932802,0.23414367386519352
Overthinking_Score,0.01100872407093166,0.4649535318545257
Meditation_Habit,0.006796060609477388,0.6519271827522086
Headache_Frequency,0.006430012006284836,0.6695325469274185
Irritability_Score,0.006198607132228943,0.6807573070599595
Multitasking_Habit,0.002850122026510551,0.8499562761484712
Age,-0.008485308071675472,0.573289528497301
Depression_Score,-0.009588518179038098,0.5244881334180677
Sleep_Hours,-0.4542288199742427,2.170357338295719e-223
Exercise_Hours,-0.46207795268201945,4.1649117901892604e-232
Sleep_Quality,-0.5191550503450255,7.778656341901376e-303
